Day,Campaign,User Engagement,Banner,Placement,Displays,Cost,Clicks,Revenue,Post Click Conversions,Post Click Sales Amount
2020-04-01,Spring Push,High Intent,160x600,Social App,2511,8.1,23,6.12,0,0.0
2020-04-01,Retention,High Intent,300x250,Video Platform,4116,24.21,38,21.48,1,111.77
2020-04-01,Spring Push,Medium Intent,300x250,News Site,4453,6.11,38,28.26,0,0.0
2020-04-01,Spring Push,High Intent,300x250,E-commerce,3549,7.9,33,46.24,1,39.32
2020-04-01,Retention,Medium Intent,320x50,Social App,5679,24.94,32,21.95,4,530.61
2020-04-01,Summer Sale,Medium Intent,300x250,Social App,5256,13.7,47,20.25,1,64.58
2020-04-01,Summer Sale,High Intent,728x90,Social App,4195,7.45,46,45.68,3,121.45
2020-04-01,Awareness,High Intent,320x50,News Site,5177,21.4,23,12.19,2,162.78
2020-04-01,Awareness,Low Intent,160x600,News Site,3342,11.56,12,4.57,0,0.0
2020-04-01,Summer Sale,Medium Intent,320x50,News Site,5357,25.81,22,10.51,2,105.47
2020-04-01,Awareness,Low Intent,160x600,E-commerce,2216,8.53,7,3.76,0,0.0
2020-04-01,Retention,Medium Intent,300x250,Video Platform,4582,17.82,39,30.02,0,0.0
2020-04-01,Retention,Medium Intent,300x250,Social App,4891,22.92,34,19.25,2,171.26
2020-04-01,Spring Push,Medium Intent,320x50,Video Platform,5119,26.98,22,25.74,0,0.0
2020-04-01,Awareness,High Intent,160x600,Social App,2481,12.49,27,18.04,2,309.1
2020-04-01,Awareness,Medium Intent,300x250,E-commerce,4109,22.61,37,57.46,1,61.64
2020-04-01,Retention,Medium Intent,728x90,Social App,4023,17.95,21,22.92,0,0.0
2020-04-01,Summer Sale,Medium Intent,728x90,Video Platform,3250,9.99,30,30.12,0,0.0
2020-04-01,Awareness,Low Intent,300x250,Social App,5421,27.31,36,29.05,0,0.0
2020-04-01,Spring Push,Low Intent,320x50,Lifestyle Blog,4486,17.12,16,10.21,0,0.0
